id,date,channel,customer_type,content,keyword_hint
075,2026-07-21,이메일,OEM,CSRD 공시에서 가치사슬 배출량 범위가 어디까지인지 2차 협력사까지 포함해야 하는지 궁금합니다.,"CSRD, 가치사슬, 공시범위"
076,2026-07-21,채널톡,1차 협력사,EU CSRD와 국내 ESG 공시 기준 간 차이를 정리해 보여주는 비교 가이드 페이지가 플랫폼에 있으면 좋겠습니다.,"CSRD, ESG공시, 비교가이드"
077,2026-07-21,이메일,2차 협력사,녹색채권 발행 준비 중인데 카본링크 탄소 데이터가 검증 기관 제출 자료로 활용 가능한지 문의드립니다.,"녹색채권, 검증기관"
078,2026-07-22,채널톡,1차 협력사,어제부터 협력사 데이터 수집 요청 발송 시 전송 실패 오류가 계속 납니다. 현재 이메일로 수동 발송하고 있는 상황입니다.,"시스템오류, 데이터수집, 전송실패"
079,2026-07-23,이메일,2차 협력사,에너지 사용량 입력 시 kWh와 MWh 중 어떤 단위로 입력해야 하는지 단위 자동 변환이 되는지 알고 싶습니다.,"단위변환, kWh, 입력방법"
080,2026-07-23,채널톡,OEM,여러 사업장의 배출량을 통합한 그룹 레벨 보고서를 자동으로 생성하는 기능을 요청드립니다. 현재는 사업장별로 따로 뽑아 수동으로 합산하고 있습니다.,"그룹보고, 사업장통합, 자동화"
081,2026-07-24,이메일,1차 협력사,SBTi 감축 목표 설정을 검토 중입니다. 카본링크로 SBTi 기준에 맞는 감축 시나리오 분석이 가능한지 문의드립니다.,"SBTi, 감축목표, 시나리오"
082,2026-07-25,채널톡,2차 협력사,원자재 구매량은 있는데 배출계수를 어디서 가져와야 하는지 모르겠습니다. 카본링크에 배출계수 데이터베이스가 내장되어 있나요?,"배출계수, 데이터베이스, 입력방법"
083,2026-07-26,이메일,OEM,2027년부터 CSRD가 중소 상장사까지 확대될 예정인데 현재 요금제와 기능이 어떻게 달라지는지 미리 알고 싶습니다.,"CSRD2027, 중소상장사, 서비스로드맵"
084,2026-07-27,채널톡,1차 협력사,지난주 계산 문의를 드렸는데 담당자분이 바로 화상 미팅을 잡아 상세히 설명해 주셨습니다. 덕분에 내부 보고 기한을 맞출 수 있었습니다.,"CS대응, 화상미팅, 만족"
085,2026-07-28,이메일,2차 협력사,입력한 전력 사용 데이터를 저장 후 조회하면 수치가 다르게 표시됩니다. 소수점 처리 오류인지 원인 확인이 필요합니다.,"소수점오류, 데이터저장, 계산오류"
086,2026-07-29,채널톡,1차 협력사,감사(audit) 대응 시 외부 검증 기관에 임시 접근 권한을 부여하는 기능이 필요합니다. 현재는 계정 정보를 공유해야 해서 보안이 우려됩니다.,"외부검증, 접근권한, 감사대응"
087,2026-07-30,이메일,2차 협력사,협력사에서 받은 배출량 데이터 형식이 제각각인데 어떤 형식으로 입력해야 하는지 모르겠습니다. 데이터 입력 가이드가 있나요?,"데이터형식, 입력가이드, 사용법"
088,2026-07-31,이메일,OEM,OEM 입장에서 협력사별 탄소 감축 이행 현황을 실시간으로 모니터링할 수 있는 대시보드를 요청드립니다.,"대시보드, 협력사관리, 감축이행"
